Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
Total**,19,8803,8522,172,109,"September 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1179,1146,20,13,"September 16, 2020"
CITY OF GOLETA,3,245,232,9,4,"September 16, 2020"
COMMUNITY OF ISLA VISTA,7,200,179,20,1,"September 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,192,180,11,1,"September 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,142,129,8,5,"September 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,781,755,18,8,"September 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 16, 2020"
CITY OF SANTA MARIA,10,3774,3662,53,59,"September 16, 2020"
COMMUNITY OF ORCUTT,7,305,290,12,3,"September 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,385,368,12,5,"September 16, 2020"
Out of County,0,0,0,0,0,"September 16, 2020"
Pending,3,371,356,15,0,"September 16, 2020"
Total**,44,8785,8497,179,109,"September 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 15, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1177,1146,19,12,"September 15, 2020"
CITY OF GOLETA,0,242,231,7,4,"September 15, 2020"
COMMUNITY OF ISLA VISTA,6,193,182,10,1,"September 15, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,189,180,8,1,"September 15, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,141,130,7,4,"September 15, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,0,775,749,18,8,"September 15, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 15, 2020"
CITY OF SANTA MARIA,12,3764,3661,44,59,"September 15, 2020"
COMMUNITY OF ORCUTT,3,298,287,8,3,"September 15, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,383,367,11,5,"September 15, 2020"
Out of County,0,0,0,0,0,"September 15, 2020"
Pending,1,368,352,16,0,"September 15, 2020"
Total**,26,8741,8485,149,107,"September 15, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,186,179,1,7,"September 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1167,1141,22,12,"September 14, 2020"
CITY OF GOLETA,3,240,229,9,4,"September 14, 2020"
COMMUNITY OF ISLA VISTA,3,186,171,15,1,"September 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,187,179,8,1,"September 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,138,126,10,4,"September 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,770,747,20,8,"September 14, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 14, 2020"
CITY OF SANTA MARIA,0,3748,3654,40,58,"September 14, 2020"
COMMUNITY OF ORCUTT,2,293,286,6,3,"September 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,380,362,15,5,"September 14, 2020"
Out of County,0,0,0,0,0,"September 14, 2020"
Pending,4,399,355,16,0,"September 14, 2020"
Total**,23,8718,8450,162,106,"September 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,185,177,1,7,"September 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1160,1122,26,12,"September 11, 2020"
CITY OF GOLETA,2,233,219,10,4,"September 11, 2020"
COMMUNITY OF ISLA VISTA,6,180,163,16,1,"September 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,183,175,7,1,"September 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,131,121,8,4,"September 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,753,727,18,8,"September 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1020,1,3,"September 11, 2020"
CITY OF SANTA MARIA,5,3715,3607,51,57,"September 11, 2020"
COMMUNITY OF ORCUTT,0,287,275,9,3,"September 11, 2020"
